French,English,Spanish,Portuguese
partie,part,parte,parte
histoire,history,historia,história
chercher,search,buscar,procurar
seulement,only,solo,somente
police,police,policía,polícia
pensais,thought,pensamiento,pensamento
aide,help,ayuda,ajuda
demande,request,solicitud,solicitação
genre,kind,tipo,tipo
mois,month,mes,mês
frère,brother,hermano,irmão
laisser,let,dejar,deixar
car,because,porque,porque
mettre,to put,poner,colocar
aucun,no,ninguno,nenhum
laisse,leash,correa,trela
eux,them,ellos,eles
ville,city,ciudad,cidade
chaque,each,cada,cada
parlé,speak,hablar,falar
arrivé,come,venir,vir
devrait,should,debería,deveria
bébé,baby,bebé,bebê
longtemps,long time,largo tiempo,longo tempo
heures,hours,horas,horas
vont,will,irán,irão
pendant,while,mientras,enquanto
revoir,meet again,volver a ver,rever
aucune,any,ninguno,nenhum
place,square,plaza,praça
parle,speak,hablar,falar
compris,understood,entendido,entendido
savais,knew,sabía,sabia
étaient,were,eran,eram
attention,Warning,advertencia,advertência
voici,here is,aquí está,aqui está
pourrais,could,podría,poderia
affaire,case,caso,caso
donner,give,dar,dar
type,type,tipo,tipo
leurs,their,sus,seus
donné,given,dado,dado
train,train,tren,trem
corps,body,cuerpo,corpo
endroit,place,lugar,lugar
yeux,eyes,ojos,olhos
façon,way,manera,maneira
écoute,listen,escuchar,escutar
dont,whose,cuyo,cujo
trouve,find,encontrar,encontrar
premier,first,primero,primeiro
perdu,lost,perdido,perdido
main,hand,mano,mão
première,first,primero,primeiro
côté,side,lado,lado
pouvoir,power,poder,poder
vieux,old,viejo,velho
sois,be,ser,ser
tiens,here,aquí,aqui
matin,morning,mañana,manhã
tellement,so much,tanto,tanto
enfant,child,niño,criança
point,point,punto,ponto
venu,came,vino,veio
suite,after,después,após
pardon,sorry,lo siento,desculpe
venez,come,venir,vir
devant,in front of,delante de,em frente de
vers,towards,hacia,para
minutes,minutes,minutos,minutos
demandé,request,solicitud,solicitado
chambre,bedroom,dormitorio,quarto
mis,placed,colocado,colocado
belle,beautiful,hermosa,bonita
droit,law,ley,lei
aimerais,would like to,me gustaría,gostaria de
aujourd'hui,today,hoy,hoje
mari,husband,marido,marido
cause,cause,causa,causa
enfin,finally,finalmente,finalmente
espère,hope,esperar,esperar
eau,water,agua,água
attendez,Wait,espera,espera
parti,left,salió,partiu
nouvelle,new,nuevo,novo
boulot,job,trabajo,trabalho
arrêter,Stop,detener,parar
dirait,would say,diría,diria
terre,Earth,Tierra,Terra
compte,account,cuenta,conta
donne,given,dado,dado
loin,far,lejos,longe
fin,end,fin,fim
croire,believe,creer,acreditar
chérie,sweetheart,cariño,querida
gros,large,grande,grande
plutôt,rather,más bien,mais
aura,will have,tendrá,terá
filles,girls,niñas,meninas
jouer,to play,jugar,jogar
bureau,office,oficina,escritório
