,French,English,Spanish,Portuguese
0,partie,part,parte,parte
1,histoire,history,historia,história
2,demande,request,solicitud,solicitação
3,mois,month,mes,mês
4,frère,brother,hermano,irmão
5,laisser,let,dejar,deixar
6,mettre,to put,poner,colocar
7,chaque,each,cada,cada
8,parlé,speak,hablar,falar
9,heures,hours,horas,horas
10,pendant,while,mientras,enquanto
11,revoir,meet again,volver a ver,rever
12,compris,understood,entendido,entendido
13,savais,knew,sabía,sabia
14,voici,here is,aquí está,aqui está
15,donner,give,dar,dar
16,type,type,tipo,tipo
17,donné,given,dado,dado
18,train,train,tren,trem
19,yeux,eyes,ojos,olhos
20,façon,way,manera,maneira
21,écoute,listen,escuchar,escutar
22,dont,whose,cuyo,cujo
23,trouve,find,encontrar,encontrar
24,perdu,lost,perdido,perdido
25,côté,side,lado,lado
26,vieux,old,viejo,velho
27,enfant,child,niño,criança
28,venu,came,vino,veio
29,suite,after,después,após
30,pardon,sorry,lo siento,desculpe
31,venez,come,venir,vir
32,devant,in front of,delante de,em frente de
33,demandé,request,solicitud,solicitado
34,droit,law,ley,lei
35,mari,husband,marido,marido
36,enfin,finally,finalmente,finalmente
37,espère,hope,esperar,esperar
38,eau,water,agua,água
39,parti,left,salió,partiu
40,nouvelle,new,nuevo,novo
41,arrêter,Stop,detener,parar
42,dirait,would say,diría,diria
43,terre,Earth,Tierra,Terra
44,compte,account,cuenta,conta
45,donne,given,dado,dado
46,loin,far,lejos,longe
47,croire,believe,creer,acreditar
48,chérie,sweetheart,cariño,querida
49,gros,large,grande,grande
50,plutôt,rather,más bien,mais
51,filles,girls,niñas,meninas
52,bureau,office,oficina,escritório
